Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 23617,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross,40, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23628,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,2,2, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23629,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,2,2, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23630,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,34, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23631,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,3, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23633,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23634,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,19, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23638,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,14, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23639,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross, ,3, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23640,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Michigan,Branch,Bronson, ,Prairie River,41.83941,-85.19468, ,1000,05/19/1936, ,H.H. Ross, , , , ,Paratype,Hydropsyche cuanis Ross,6, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23641,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, , ,41.30778,-88.14667, ,10000,05/01/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross, , , , , ,11, , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23642,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,McHenry,Spring Grove, ,Nippersink Creek,42.44078,-88.23729, ,1000,05/14/1936, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,3,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23674,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,dicantha, ,HH Ross,1938,Canada,Ontario, ,Ontario Fisheries Research Laboratory,Algonquin Provincial Park,Costello Lake,45.59936,-78.33003, ,1000,07/07/1938, ,W.M. Sprules, , , , ,Allotype,Hydropsyche dicantha Ross, ,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23635,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Kankakee,Momence, ,[Kankakee River],41.16667,-87.66278, ,1000,08/21/1936, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross,2, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23707,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,philo, ,HH Ross,1941,United States,California,Monterey,"Monterey, Hastings Natural History Reserve",Hastings Natural History Reserve, ,36.60028,-121.89361, ,10000,05/24/1938, ,C.D. Michener, , , , ,Holotype,Hydropsyche philo Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23708,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,philo, ,HH Ross,1941,United States,California,Monterey,"Monterey, Hastings Natural History Reserve",Hastings Natural History Reserve, ,36.60028,-121.89361, ,10000,05/24/1938, ,C.D. Michener, , , , ,Allotype,Hydropsyche philo Ross, ,1, , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23712,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Holotype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23713,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Allotype,Hydropsyche placoda Ross, ,1, , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23714,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23715,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,5, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23716,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23727,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23728,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23730,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Wisconsin,Washburn,Spooner,St. Croix National Scenic Riverway,Namekagon River,45.9053,-91.81137, ,10,06/05/1936,06/06/1936,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23720,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Illinois,La Salle, ,Starved Rock State Park,Illinois River,41.31991,-88.90996, ,1000,06/28/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche placoda Ross, , , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23721,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,placoda, ,HH Ross,1941,United States,Illinois,Mercer,Sugar Grove, , ,41.235,-90.732,205,10000,06/13/1939, ,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche placoda Ross, , , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 22278,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,Vermilion,3.8 km NE Oakwood at Glenburn Creek Rd.,Kickapoo State Park,Middle Fork Vermilion River,40.13686,-87.74561, ,1000,04/24/1925, ,T.H. Frison, , , , ,Holotype,Hydropsyche frisoni Ross,1, , , , , , , ,Pin,2/5/1999 12:00:00 AM,3/18/2010 12:00:00 AM
Trichoptera 23615,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cornuta, ,AV Martynov,1909,United States,Illinois,Rock Island,Rock Island, ,Rock River,41.51346,-90.58287, ,1000,05/21/1928, , , , , , ,Paratype,Hydropsyche cornuta Ross,5, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23694,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,Vermilion,3.8 km NE Oakwood at Glenburn Creek Rd.,Kickapoo State Park,Middle Fork Vermilion River,40.13686,-87.74561, ,1000,07/06/1927, ,"T.H. Frison, R.D. Glasgow", , , , ,Paratype,Hydropsyche frisoni Ross,2, , , , , , , ,Vial,7/13/1999 12:00:00 AM,3/18/2010 12:00:00 AM
Trichoptera 23813,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Winnebago,Rockton, , ,42.4525,-89.07222, ,10000,05/30/1936, ,H.H. Ross, , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23816,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Winnebago,Rockton, , ,42.4525,-89.07222, ,10000,05/30/1936, ,H.H. Ross, , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23696,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,Vermilion,3.8 km NE Oakwood at Glenburn Creek Rd.,Kickapoo State Park,Middle Fork Vermilion River,40.13686,-87.74561, ,1000,07/06/1927, ,"T.H. Frison, R.D. Glasgow", , , , ,Paratype,Hydropsyche frisoni Ross,3, , , , , , , ,Vial,7/13/1999 12:00:00 AM,3/18/2010 12:00:00 AM
Trichoptera 22280,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,protis, ,HH Ross,1938,United States,Utah, ,trout creek, ,Trout Creek,39.4997,-111.547, ,1000000,07/25/1933, ,H. B. Stafford, , , , ,Holotype,Hydropsyche protis Ross,1, , , , , , , ,Pin,2/5/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 22281,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,protis, ,HH Ross,1938,United States,Utah, ,trout creek, ,Trout Creek,39.4997,-111.547, ,1000000,07/25/1933, ,H. B. Stafford, , , , ,Allotype,Hydropsyche protis Ross, ,1, , , , , , ,Pin,2/5/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23612,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cornuta, ,AV Martynov,1909,United States,Illinois,Hancock,Hamilton (SW Corner), ,Mississippi River,40.386,-91.341, ,10,08/30/1931, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cornuta Ross,1,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23603,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cornuta, ,AV Martynov,1909,United States,Illinois,Hancock,Hamilton (SW Corner), ,Mississippi River,40.386,-91.341, ,10,06/22/1928, ,"T.H. Frison, H.H. Ross, F.C. Hottes", , , , ,Paratype,Hydropsyche cornuta Ross,17, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23604,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cornuta, ,AV Martynov,1909,United States,Illinois,Hancock,Hamilton (SW Corner), ,Mississippi River,40.386,-91.341, ,10,06/22/1928, ,"T.H. Frison, H.H. Ross, F.C. Hottes", , , , ,Paratype,Hydropsyche cornuta Ross,1,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23605,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cornuta, ,AV Martynov,1909,United States,Illinois,Hancock,Hamilton (SW Corner), ,Mississippi River,40.386,-91.341, ,10,06/22/1928, ,"T.H. Frison, H.H. Ross, F.C. Hottes", , , , ,Paratype,Hydropsyche cornuta Ross,9, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23690,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,Champaign,2 mi N Homer, ,Salt Fork Vermilion River,40.06096,-87.97204, ,10,07/11/1927, ,"T.H. Frison, R.D. Glasgow", , , , ,Paratype,Hydropsyche frisoni Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23800,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Will,Wilmington, , ,41.30778,-88.14667, ,10000,05/12/1935, ,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23802,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,06/25/1936, ,"D.M. DeLong, H.H. Ross", , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23804,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,09/11/1937, ,H.H. Ross, , , , ,Paratype,Hydropsyche simulans Ross,10, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23805,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,09/11/1937, ,H.H. Ross, , , , ,Paratype,Hydropsyche simulans Ross, ,4, , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23809,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Lawrence,Lawrenceville, , ,38.72917,-87.68167, ,10000,09/07/1933, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23689,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Michigan,Crawford, , ,North Branch Au Sable River,44.67058,-84.38238, ,10000,05/02/1936, ,J.W. Leonard, , , , ,Paratype,Hydropsyche frisoni Ross,2, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23691,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,Vermilion,Muncie at US-150, ,Stony Creek,40.11323,-87.83275, ,1000,07/27/1927, ,T.H. Frison, , , , ,Paratype,Hydropsyche frisoni Ross,2, , , , , , , ,Vial,7/13/1999 12:00:00 AM,8/10/2010 12:00:00 AM
Trichoptera 23791,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Mason,Havana, ,Illinois River,40.29444,-90.06885, ,1000,05/17/1934, ,H.H. Ross, , , , ,Paratype,Hydropsyche simulans Ross,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,3/18/2010 12:00:00 AM
Trichoptera 23746,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Kankakee,Momence, ,[Kankakee River],41.16667,-87.66278, ,1000,08/16/1938, ,"H.H. Ross, C.O. Mohr, B.D. Burks", , ,H.H. Ross,1945,Paratype,Hydropsyche rossi Flint et al.,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,11/7/2013 12:00:00 AM
Trichoptera 23764,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Kankakee,Momence, ,Kankakee River,41.16667,-87.66278, ,1000,05/29/1939, ,"T.H. Frison, H.H. Ross", , ,H.H. Ross,1945,Paratype,Hydropsyche rossi Flint et al.,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,11/7/2013 12:00:00 AM
Trichoptera 23766,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,North Carolina,Iredell,Statesville, ,Catawba River,35.7825,-80.8875, ,10000,04/23/1938, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche rossi Flint et al.,1, , , , , , , ,Vial,7/13/1999 12:00:00 AM,11/7/2013 12:00:00 AM
Trichoptera 23814,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,06/25/1936, ,"D.M. DeLong, H.H. Ross", , , , ,Paratype,Hydropsyche simulans Ross,14, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23815,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,06/25/1936, ,"D.M. DeLong, H.H. Ross", , , , ,Paratype,Hydropsyche simulans Ross,24, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23822,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Connecticut,New Haven,Mt. Carmel, , ,41.42417,-72.90583, ,10000,06/25/1936, ,"D.M. DeLong, H.H. Ross", , , , ,Paratype,Hydropsyche simulans Ross,6, , , , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23404,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Ogle,9.4 km ENE Polo,White Pines State Park,Pine Creek,41.9935,-89.4708, ,1000,05/30/1936, ,"D.M. DeLong, H.H. Ross", ,in collection, , ,Paratype,Hydropsyche betteni Ross, , , , , , , , ,Vial,6/22/1999 12:00:00 AM,4/22/2014 12:00:00 AM
Trichoptera 23405,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Ogle,9.4 km ENE Polo,White Pines State Park,Pine Creek,41.9935,-89.4708, ,1000,05/30/1936, ,H.H. Ross, ,in collection, , ,Paratype,Hydropsyche betteni Ross, , , , , , , , ,Vial,6/22/1999 12:00:00 AM,4/22/2014 12:00:00 AM
Trichoptera 23676,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,elissoma, ,HH Ross,1947,United States,Georgia,Houston,Perry, ,Mossy Creek,32.45806,-83.73167, ,10000,03/31/1945, ,P.W. Fattig, , , , ,Paratype,Hydropsyche elissoma Ross,1, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23677,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,elissoma, ,HH Ross,1947,United States,Georgia,Houston,Perry, ,Mossy Creek,32.45806,-83.73167, ,10000,03/31/1945, ,P.W. Fattig, , , , ,Holotype,Hydropsyche elissoma Ross,1, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23395,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,alvata, ,DG Denning,1949,United States,Illinois,Kankakee,Momence, ,[Kankakee River],41.16667,-87.66278, ,1000,06/29/1939, ,"B.D. Burks, J.S. Ayars", , , , ,Paratype,Hydropsyche alvata Denning,1, , , , , , , ,Vial,6/22/1999 12:00:00 AM,4/16/2014 12:00:00 AM
Trichoptera 23409,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,De Witt,Weldon Srings St. Pk., , ,40.1206,-88.9244, ,10000,05/21/1935, ,"T.H. Frison, H.H. Ross", , , , ,Paratype,Hydropsyche betteni Ross, , , , , ,5, , ,Vial,6/22/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23705,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,patera, ,GA Schuster & DA Etnier,1978,United States,Tennessee,Cheatham,"2 mi N on Concord Rd, just E of bridge on hwy 70", ,Harpeth River,36.12399,-87.09919, ,10000,09/10/1975, ,"G.A. Schuster, D.A. Etnier", , , , ,Paratype,Hydropsyche patera Schuster and Etnier, , , , , ,2, , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23706,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,patera, ,GA Schuster & DA Etnier,1978,United States,Tennessee,Cheatham,"2 mi N on Concord Rd, just E of bridge on hwy 70", ,Harpeth River,36.12399,-87.09919, ,10000,07/16/1975, ,G. A. Schuster, , , , , , , , ,5, , , , , ,Vial,7/13/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23855,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,valanis, ,HH Ross,1938,United States,Wisconsin,Lincoln,Merrill, ,Wisconsin River,45.17762,-89.68346, ,1000,07/01/1933,07/02/1933,"T.H. Frison, C.O. Mohr", , , , ,Holotype,Hydropsyche valanis Ross,1, , , , , , , ,Vial,7/20/1999 12:00:00 AM,2/13/2010 12:00:00 AM
Trichoptera 23408,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,04/25/1933, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche betteni Ross,1, , , , , , , ,Vial,6/22/1999 12:00:00 AM,2/13/2010 12:00:00 AM
Trichoptera 23411,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,04/25/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche betteni Ross,1, , , , , , , ,Vial,6/22/1999 12:00:00 AM,2/13/2010 12:00:00 AM
Trichoptera 23412,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,04/25/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche betteni Ross,1, , , , , , , ,Vial,6/22/1999 12:00:00 AM,2/13/2010 12:00:00 AM
